country,pop_growth,gdp_percapita_usd,political_stability_index,food_supply_kcalcapitaday,protein_supply_gcapitaday,protein_animal_over_protein,protein_poultry_gcapitaday,prod_poultry_over_domsupply,net_import_poultry_over_domsupply,import_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry
Lebanon,15.328050529830616,6048.83988725,-1.59,2877.0,67.55,30.05181347150258,3.9,87.67123287671232,12.32876712328767,17.80821917808219,-23.529411764705888,-25.510204081632647
Lesotho,3.105894416153565,899.5546265,-0.25,2277.0,63.949999999999996,19.108678655199373,2.72,11.76470588235294,88.23529411764706,88.23529411764706,-11.764705882352944,-19.047619047619047
Liberia,10.683999892663799,324.63960325,-0.41,2127.0,39.91,24.55524931094964,3.74,30.0,96.0,96.0,92.0,31.578947368421062
Lithuania,-5.434482776956884,12079.80836475,0.78,3419.0,125.06000000000002,61.60243083320006,9.74,143.90243902439025,-29.268292682926827,53.65853658536586,33.33333333333333,1.2345679012345734
"China, Macao SAR",7.830826572816152,54100.60863,1.44,2999.0,100.37000000000006,66.84268207631759,11.9,15.789473684210526,121.05263157894737,121.05263157894737,35.29411764705883,-9.523809523809524
Madagascar,11.363738610977503,368.118019,-0.33,1901.0,42.94,21.471821145784816,0.97,98.78048780487805,0.0,0.0,0.0,13.888888888888884
Malawi,11.55929629656287,301.48372225,-0.27,2646.0,67.97999999999999,16.85789938217123,1.74,132.6530612244898,0.0,0.0,0.0,326.0869565217392
Malaysia,5.550671125646511,8035.8258697500005,0.16,2902.0,78.86999999999999,54.786357296817556,12.95,106.35410240592226,1.4805675508945095,4.194941394201111,44.6808510638298,9.749492213947185
Maldives,19.44426397942216,7631.64759775,0.26,2253.0,81.63000000000007,60.12495406100696,4.7,0.0,100.0,100.0,19.999999999999996,19.999999999999996
Mali,12.538567211599583,662.4948817500001,-1.91,2923.0,84.74000000000002,27.342459287231524,0.96,92.3076923076923,1.9230769230769231,1.9230769230769231,-66.66666666666667,10.63829787234043
Malta,2.764747706798776,21764.29268325,1.27,3460.0,116.32,57.573933975240735,12.68,28.57142857142857,64.28571428571429,64.28571428571429,0.0,7.692307692307687
Mauritania,12.182756541333116,1110.77519,-0.62,2842.0,79.82000000000004,36.87045853169631,1.59,22.727272727272727,109.09090909090908,109.09090909090908,41.176470588235304,0.0
Mauritius,0.7206169570800114,7662.00197875,0.99,3125.0,88.41000000000004,43.73939599592806,13.06,97.95918367346938,4.081632653061225,4.081632653061225,0.0,0.0
Mexico,5.007409879968439,7109.096839999999,-0.65,3258.0,93.30000000000004,46.934619506966776,9.26,77.00876985067552,22.82531405546338,23.038634747570512,14.487632508833915,14.491180461329712
Mongolia,8.050375617107552,2964.7195202499997,0.82,2369.0,82.35000000000001,68.17243472981177,0.95,0.0,111.11111111111111,111.11111111111111,25.0,0.0
Morocco,5.5331843443988005,2426.52235725,-0.41,3378.0,98.03000000000002,27.991431194532286,7.29,102.14477211796248,0.2680965147453083,0.40214477211796246,-25.0,8.746355685131203
Mozambique,12.082049219594637,386.13206775000003,-0.98,2301.0,51.180000000000014,17.565455255959353,1.2,79.3103448275862,20.689655172413794,20.689655172413794,140.0,222.22222222222223
Republic of Moldova,-0.36585267085701423,1594.355406,-0.24,2397.0,63.32,48.689197725837026,5.53,81.81818181818183,24.242424242424242,24.242424242424242,-15.789473684210531,4.761904761904767
Namibia,7.572168982604932,3953.86041075,0.63,2429.0,62.0,36.709677419354854,4.25,39.285714285714285,60.71428571428571,103.57142857142858,61.111111111111114,0.0
Nepal,2.659633337448497,598.30808125,-0.66,2864.0,73.58,17.205762435444417,0.67,100.0,0.0,0.0,0.0,34.883720930232556
Netherlands,1.0558671231196248,37687.451173,0.92,3251.0,104.43000000000004,65.5367231638418,8.48,295.6989247311828,-217.74193548387095,163.44086021505376,6.2937062937062915,-13.888888888888884
New Caledonia,4.8849160996359275,27168.17796675,0.21,2750.0,83.12000000000005,58.08469682386909,14.05,9.090909090909092,81.81818181818183,81.81818181818183,-18.181818181818176,0.0
North Macedonia,0.28558808554830506,3926.12540875,-0.25,2996.0,80.53000000000002,40.866757730038486,7.01,4.878048780487805,95.1219512195122,97.5609756097561,5.263157894736836,2.499999999999991
Vanuatu,11.251388158279262,2270.3857024999998,0.71,2623.0,63.71999999999999,39.78342749529191,4.05,33.33333333333333,133.33333333333331,133.33333333333331,100.0,0.0
New Zealand,4.061489228208837,30730.46663875,1.59,3153.0,90.79999999999998,57.19162995594716,12.02,132.73809523809524,-13.095238095238097,0.5952380952380952,0.0,6.329113924050622
Nicaragua,5.31779441899547,1623.0498805000002,-0.05,2627.0,65.99999999999997,33.39393939393941,6.91,103.6231884057971,4.3478260869565215,4.3478260869565215,0.0,6.153846153846154
Niger,16.742617559687933,354.018693,-1.3,2575.0,81.86000000000001,15.233325189347664,0.32,90.47619047619048,14.285714285714285,14.285714285714285,50.0,10.526315789473696
Nigeria,11.124115638934784,1737.260281,-1.94,2460.0,55.90000000000001,12.737030411449012,0.31,99.5049504950495,0.0,0.0,-100.0,-32.89036544850499
Norway,4.269572227729168,60315.15524000001,1.15,3384.0,109.98,58.647026732133114,7.81,99.01960784313727,1.9607843137254901,1.9607843137254901,0.0,-3.7735849056603765
Pakistan,8.702986956982684,1063.89058075,-2.4,2325.0,66.24999999999997,42.05283018867926,1.97,99.9219968798752,-0.15600624024961,0.15600624024961,0.0,40.57017543859649
Panama,7.0743996443688895,10325.907874499999,0.39,2839.0,79.42000000000002,53.14782170737848,10.34,103.125,10.416666666666668,10.416666666666668,33.33333333333333,20.75471698113207
Czechia,0.514814434527322,15459.5525325,1.02,3275.0,86.47999999999999,61.482423681776154,7.5,65.46184738955823,35.7429718875502,46.58634538152611,14.851485148514843,22.058823529411775
Paraguay,5.4803360103319765,3897.0788445,0.12,2741.0,71.85000000000002,46.79192762700068,1.8,109.75609756097562,-7.317073170731707,2.4390243902439024,0.0,-4.651162790697672
Peru,5.6099675196338294,4753.04221575,-0.26,2767.0,78.38000000000002,37.637152334779266,6.71,96.19172685489166,3.8739330269205516,3.939592908732764,93.5483870967742,23.720552396425674
Philippines,6.373289061752918,2266.84240775,-1.24,2666.0,62.66,41.062879029684005,4.65,83.62919132149902,16.23931623931624,16.370808678500985,151.5151515151515,29.88898377455167
Poland,-0.5368750455506777,10767.67874375,0.52,3526.0,103.01999999999997,53.78567268491557,12.14,203.37370242214533,-83.91003460207612,4.757785467128028,12.244897959183664,7.235621521335811
Portugal,-1.7616120506203536,15872.281143,1.08,3494.0,114.41,63.54339655624508,12.74,111.07692307692307,11.692307692307692,25.23076923076923,28.125,-1.2158054711246202
Guinea-Bissau,10.913966588907664,491.40443899999997,-0.6,2252.0,44.13,21.142080217539093,0.74,75.0,100.0,100.0,300.0,33.33333333333333
Timor-Leste,7.800612853270739,1690.87638925,0.03,2142.0,57.68999999999999,27.093083723348936,1.46,20.0,220.00000000000003,220.00000000000003,83.33333333333333,-16.666666666666664
Zimbabwe,6.638181569908186,882.8878645,-0.77,2167.0,51.19999999999999,22.695312500000007,1.59,90.78947368421053,7.894736842105263,7.894736842105263,0.0,8.571428571428562
Romania,-2.3782462984737185,7948.234304,0.06,3525.0,106.61999999999999,49.005815044081785,7.91,102.88713910761156,20.209973753280842,38.320209973753286,62.22222222222222,14.071856287425156
Rwanda,10.81643518248745,569.8934442500001,0.04,2210.0,59.2,14.763513513513516,0.5,100.0,0.0,0.0,0.0,18.75
Russian Federation,0.8346643009577548,8090.833130749999,-0.67,3362.0,101.87000000000005,54.76587807990575,10.44,97.54170324846356,2.436347673397717,4.960491659350307,-57.35849056603774,15.137730603992928
Saint Kitts and Nevis,3.4054558820607594,12630.24469575,0.64,2517.0,76.86,64.14259692948218,19.22,0.0,100.0,100.0,0.0,0.0
Saint Lucia,1.9384495783407507,7134.6908805,1.15,2658.0,86.25999999999998,60.537908648272676,19.0,9.090909090909092,90.9090909090909,90.9090909090909,-16.666666666666664,-15.384615384615385
Saint Vincent and the Grenadines,1.1093516967096928,5240.66030925,0.9,2962.0,89.17000000000002,54.36806100706515,25.1,0.0,112.5,112.5,12.5,0.0
Sao Tome and Principe,7.8100027591664345,1186.6455919999999,0.22,2417.0,51.99999999999999,30.403846153846164,3.21,50.0,100.0,100.0,100.0,0.0
Saudi Arabia,10.146126759567453,15436.15714675,-0.62,3194.0,87.50999999999998,42.280882184893166,15.57,42.926829268292686,49.61672473867596,50.31358885017422,-17.86120591581343,1.4851485148514865
Senegal,11.876945593895538,1014.190847,-0.04,2611.0,60.47000000000001,21.514800727633535,1.61,100.0,0.0,0.0,0.0,18.461538461538463
Sierra Leone,9.097373666972587,394.83906275000004,0.03,2452.0,55.66000000000001,23.859144807761407,1.24,56.666666666666664,46.666666666666664,46.666666666666664,0.0,0.0
Slovenia,0.6438822942063105,17800.64430725,0.89,3200.0,98.29000000000003,55.03103062366465,8.72,138.46153846153845,-17.307692307692307,38.46153846153847,17.647058823529417,4.0000000000000036
Slovakia,0.4827799270527233,13616.947515999998,0.88,2771.0,62.24999999999998,59.261044176706854,4.74,95.94594594594594,37.83783783783784,85.13513513513513,5.000000000000004,-13.953488372093027
South Africa,6.188886530160542,4844.33047175,-0.27,2987.0,83.36000000000001,41.45873320537426,14.11,78.7063267233239,21.29367327667611,24.268177525967893,44.38202247191012,6.80786686838124
Spain,-0.6032892643183074,22055.0615785,0.27,3270.0,106.99000000000002,62.17403495653798,12.47,101.20240480961924,-0.46760187040748163,13.694054776219106,19.883040935672526,10.154525386313473
Suriname,4.239974711807792,5460.5100225,0.14,2694.0,60.15,41.13050706566915,9.27,40.0,52.0,72.0,-14.28571428571429,-13.793103448275868
Tajikistan,10.180180101935932,696.01523775,-0.67,2099.0,55.37999999999999,24.304803178042615,1.45,5.0,95.0,95.0,89.99999999999999,90.47619047619047
Eswatini,3.4928687952169746,2561.05219475,-0.3,2406.0,61.220000000000006,29.5655014701078,2.23,85.71428571428571,28.57142857142857,28.57142857142857,0.0,-12.5
Sweden,2.982735732608477,41323.41764725,0.98,3214.0,107.03000000000002,63.16920489582358,7.09,83.9572192513369,32.62032085561498,44.919786096256686,15.068493150684926,5.0561797752809
Switzerland,4.2783477566193495,60127.269148750005,1.21,3414.0,95.46000000000002,61.31363922061595,6.49,68.42105263157895,35.338345864661655,38.34586466165413,-8.92857142857143,0.7575757575757569
Turkmenistan,7.291491579609177,5244.911026000001,-0.15,2872.0,92.84,43.106419646704,1.53,74.07407407407408,33.33333333333333,33.33333333333333,800.0,28.57142857142858
"China, Taiwan Province of",1.0800465997557351,50593.0,0.89,2976.0,85.71000000000004,49.53914362384784,11.01,83.05732484076434,19.49044585987261,20.50955414012739,38.793103448275865,4.666666666666663
United Republic of Tanzania,12.740947474739105,703.0622754999999,-0.58,2390.0,59.749999999999986,15.631799163179918,0.63,97.22222222222221,1.8518518518518516,1.8518518518518516,0.0,19.999999999999996
Thailand,1.563283491123979,4743.52144925,-0.76,2826.0,60.94000000000002,42.94387922546766,4.35,190.2383654937571,-90.12485811577753,0.22701475595913734,-81.81818181818181,-6.772486772486774
Togo,10.694201723663443,458.82094425,-0.74,2426.0,57.31000000000002,16.07049380561856,2.39,74.07407407407408,29.629629629629626,29.629629629629626,23.076923076923084,19.999999999999996
Trinidad and Tobago,2.2424416581775963,12113.33208525,0.29,3039.0,84.66000000000001,49.92912827781715,16.63,80.26315789473685,30.263157894736842,30.263157894736842,-7.9999999999999964,-16.483516483516482
Oman,23.93541659251501,11873.362113250001,0.74,2924.0,85.03999999999998,49.62370649106303,7.38,6.140350877192982,96.49122807017544,110.5263157894737,6.779661016949157,0.0
Tunisia,4.386872542386078,2890.44004525,-1.05,3469.0,98.96999999999996,28.49348287359807,6.28,109.23076923076923,-2.051282051282051,0.0,-100.0,-3.9408866995073843
Turkey,6.836952799839402,9327.46752525,-1.8,3538.0,101.2,35.33596837944664,6.99,130.94384707287935,-25.448028673835125,0.17921146953405018,100.0,18.976545842217483
United Arab Emirates,3.145203638652716,30208.68215625,0.63,3370.0,107.26000000000002,40.88196904717506,14.8,11.650485436893204,82.28155339805825,105.09708737864078,15.466666666666672,7.291666666666674
Uganda,15.330278018314235,472.974306,-0.56,2143.0,52.319999999999986,20.775993883792054,0.51,98.48484848484848,0.0,0.0,0.0,15.789473684210531
United Kingdom of Great Britain and Northern Ireland,2.6828796581953362,32199.232769000002,0.26,3428.0,103.87000000000006,56.30114566284774,13.77,81.19964189794091,18.800358102059086,34.87018800358102,-4.064039408866993,6.838833094213292
Ukraine,-1.7649089143341623,1894.78864925,-1.89,3033.0,86.15,43.38943702843876,7.58,120.01982160555005,-15.064420218037661,11.992071357779981,63.51351351351351,-8.189262966333033
United States of America,2.7446912874718343,43018.29679525,0.3,3762.0,113.61000000000004,65.02948684094709,19.93,119.97153180773022,-19.53903427132377,0.6733822402277456,21.78217821782178,13.453416149068321
Burkina Faso,12.420053318776048,530.0494412500001,-0.92,2720.0,76.08000000000001,14.379600420609886,0.77,100.0,0.0,0.0,0.0,21.052631578947366
Uruguay,1.392500183658485,11916.129566,1.06,3151.0,84.26000000000002,53.536672205079505,2.97,100.0,0.0,9.090909090909092,-25.0,-66.66666666666667
Uzbekistan,6.7723883009148,1685.00850525,-0.28,3020.0,93.52000000000002,40.055603079555176,0.63,0.0,0.0,0.0,-100.0,-100.0
Venezuela (Bolivarian Republic of),-1.2711308940184796,6042.34985175,-1.18,2247.0,56.3,45.11545293072824,7.23,95.84664536741214,3.993610223642172,3.993610223642172,-91.0394265232975,-47.571189279731996
Viet Nam,4.240160986255925,1619.29664125,0.31,2938.0,90.02999999999999,40.875263800955246,4.01,76.11940298507463,24.046434494195687,24.129353233830848,-41.800000000000004,6.443071491615182
Ethiopia,11.546924417406434,485.90962225,-1.69,2304.0,65.64000000000001,8.912248628884821,0.04,100.0,7.142857142857142,7.142857142857142,100.0,-77.41935483870968
Samoa,2.429765412808438,3059.3379092500004,1.2,2971.0,85.7,61.83197199533254,21.88,0.0,113.33333333333333,113.33333333333333,30.76923076923077,7.14285714285714
Yemen,10.687948264748837,515.8141545000001,-2.96,2062.0,53.239999999999995,20.06010518407213,3.04,68.29268292682927,31.70731707317073,31.70731707317073,-28.44036697247706,-6.106870229007633
Zambia,12.910255716259567,1115.4606205000002,0.11,2008.0,59.06,19.776498476125976,1.15,81.66666666666667,18.333333333333332,20.0,500.0,25.0
Belgium,2.3824528023959957,32988.01662525,0.42,3770.0,101.35000000000004,57.109028120374916,4.57,304.60526315789474,-209.21052631578948,222.3684210526316,34.12698412698412,6.2937062937062915
Luxembourg,9.09576820996756,81059.3191255,1.34,3334.0,105.79000000000002,63.69222043671423,7.19,0.0,90.9090909090909,100.0,10.000000000000009,0.0
Serbia,-1.0009750076915291,4580.333115999999,0.1,2799.0,82.43000000000002,48.538153584859884,3.5,94.44444444444444,5.555555555555555,13.333333333333334,0.0,-10.89108910891089
Montenegro,0.1944615188115062,5609.03511525,0.01,3478.0,113.12000000000006,60.7054455445544,5.79,40.0,80.0,80.0,14.28571428571428,0.0
Sudan,10.090611517146787,1722.8320059999999,-2.01,2431.0,67.88,31.14319387153801,0.54,97.10144927536231,2.898550724637681,2.898550724637681,0.0,43.75
